CHEMICAL NAME,CASRN,LAST SIGNIFICANT REVISION,IRIS SUMMARY,TOX REVIEW/SUPPORTING DOCUMENT,LITERATURE SCREENING REVIEW,CRITICAL EFFECT SYSTEMS,TUMOR SITE,PESTICIDE,ARCHIVE,NONCANCER ASSESSMENT TYPE,SYSTEM (RfD),RfD (mg/kg-day),BASIS (RfD),PoD (RfD),COMPOSITE UF (RfD),CONFIDENCE (RfD),SYSTEM (RfC),RfC (mg/m^3),BASIS (RfC),PoD (RfC),COMPOSITE UF (RfC),CONFIDENCE (RfC),WOE CHARACTERIZATION,FRAMEWORK FOR WOE CHARACTERIZATION,WOE BASIS,QUANT. EST. OF CARC. RISK FROM ORAL EXPOSURE,QUANT. EST. OF CARC. RISK FROM INHALATION EXPOSURE
Acenaphthene,83-32-9,Nov-01-1990,"(PDF 7 pp, 89 K)",Not Available,No,Hepatic,None,,,Oral,Hepatic,6 x 10 -2,Hepatotoxicity,NOAEL: 1.75 x 102 mg/kg-day,3000,Low,,,,,,,,,,,
Acenaphthylene,208-96-8,Jan-01-1991,"(PDF 6 pp, 82 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate data from animal bioassays. This may be a synopsis of the full weight-of-evidence narrative.,,
Acephate,30560-19-1,May-01-1989,"(PDF 13 pp, 114 K)",Not Available,Yes,Nervous,Hepatic,pesticide,archive,Oral,Nervous,4 x 10 -3,Inhibition of brain ChE,LEL: 1.2 x 10-1 mg/kg-day,30,High,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",The classification is based on increased incidence of hepatocellular carcinomas and adenomas in female mice. This may be a synopsis of the full weight-of-evidence narrative.,"Oral Slope Factor: 8.7 x 10-3 per mg/kg-day
Drinking Water Unit Risk: 2.5 x 10-7 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Liver adenomas and carcinomas (Chevron Chemical, 1982a)",
Acetaldehyde,75-07-0,Oct-01-1991,"(PDF 20 pp, 147 K)",Not Available,No,Nervous; Respiratory,Respiratory,,,Inhalation,,,,,,,Nervous; Respiratory,9 x 10 -3,Degeneration of olfactory epithelium,NOAEL (HEC): 8.7 mg/m3,1000,Low,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on increased incidence of nasal tumors in male and female rats and laryngeal tumors in male and female hamsters after inhalation exposure. This may be a synopsis of the full weight-of-evidence narrative.,,"Inhalation Unit Risk: 2.2 x 10-6 per µg/m3
Extrapolation Method: Linearized multistage-variable exposure input form (extra risk)
Tumor site(s): Respiratory
Tumor type(s): Nasal squamous cell carcinoma or adenocarcinoma (Woutersen and Appleman, 1984)"
Acetochlor,34256-82-1,Sep-01-1993,"(PDF 14 pp, 126 K)",Not Available,Yes,Hematologic; Hepatic; Nervous; Reproductive; Urinary,None,pesticide,,Oral,Nervous; Reproductive; Hepatic; Urinary; Hematologic,2 x 10 -2,Salivation; increased ALT and ornithine carbamyl transferase; significant increases in triglyceride and decreased blood glucose levels; histopathological changes in kidneys and testes of males,NOAEL: 2 mg/kg-day,100,High,,,,,,,,,,,
Acetone,67-64-1,Jul-31-2003,"(PDF 26 pp, 229 K)","(PDF 85 pp, 1.19 M)",No,Urinary,None,,,Oral,Urinary,9 x 10 -1,Nephropathy,NOAEL: 900 mg/kg-day,1000,Medium,,,,,,,Data are inadequate for an assessment of human carcinogenic potential,"Revised Draft Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999)","In accordance with the Draft Revised Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999) data are inadequate for an assessment of the human carcinogenic potential of acetone. This may be a synopsis of the full weight-of-evidence narrative.",,
Acetonitrile,75-05-8,Mar-03-1999,"(PDF 23 pp, 165 K)","(PDF 35 pp, 144 K)",No,None,None,,,Inhalation,,,,,,,Other,6 x 10 -2,Mortality,NOAEL (HEC): 6.0 x 101 mg/m3,100 MF: 10,Medium,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Under the Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996), the carcinogenic potential of ACN following inhalation, oral, or dermal exposure is best characterized as ""cannot be determined because the existing evidence is composed of conflicting data (e.g., some evidence is suggestive of carcinogenic effects, but other equally pertinent evidence does not confirm any concern)."" This may be a synopsis of the full weight-of-evidence narrative.",,
Acetonitrile,75-05-8,Mar-03-1999,"(PDF 23 pp, 165 K)","(PDF 35 pp, 144 K)",No,None,None,,,Inhalation,,,,,,,Other,6 x 10 -2,Mortality,NOAEL (HEC): 6.0 x 101 mg/m3,100 MF: 10,Medium,Carcinogenic potential cannot be determined,"Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996)","Under the Proposed Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1996), the carcinogenic potential of ACN following inhalation, oral, or dermal exposure is best characterized as ""cannot be determined because the existing evidence is composed of conflicting data (e.g., some evidence is suggestive of carcinogenic effects, but other equally pertinent evidence does not confirm any concern)."" This may be a synopsis of the full weight-of-evidence narrative.",,
Acetophenone,98-86-2,Feb-01-1991,"(PDF 9 pp, 98 K)",Not Available,Yes,None,None,,,Oral,Other,1 x 10 -1,General Toxicity,NOAEL: 4.23 x 102 mg/kg-day,3000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and no animal data. This may be a synopsis of the full weight-of-evidence narrative.,,
Acetyl chloride,75-36-5,Mar-01-1991,"(PDF 5 pp, 87 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data or animal data. This may be a synopsis of the full weight-of-evidence narrative.,,
